"Fmsy" "fnames" "M" "Umsy" "Bmsy" "wInf" "t0" "wMat" "aMat" "k"
"174" 0.45 "GTRIGGM" 0.27 NA NA 818.984350920969 -0.6292 NA NA 0.4269
"175" NA "HAD4X5Y" 0.25 NA NA 8400 0.2 NA NA 0.33
"176" 0.46 "HAD5Y" 0.25 NA NA 8400 0.2 NA NA 0.33
"177" 0.25 "HADFAPL" NA NA NA 8400 NA NA NA NA
"178" 0.39 "HADGB" 0.25 NA NA 8400 0.2 NA NA 0.33
"179" NA "HADICE" NA NA NA 8400 NA NA NA NA
"180" NA "HADIS" NA NA NA 8400 NA NA NA NA
"181" 0.35 "HADNEAR" NA NA NA 8400 -0.14 NA NA 0.234
"182" 0.3 "HADNS-IIIa" NA NA NA 8400 NA NA NA 0.271
"183" 0.3 "HADROCK" NA NA NA 8400 NA NA NA NA
"184" 0.3 "HADVIa" NA NA NA 8400 NA NA NA NA
"185" 0.33 "HADVIIb-k" NA NA NA 8400 NA NA NA NA
"186" 0.24 "HAKENRTN" NA NA NA 7500 NA NA NA NA
"187" 0.24 "HAKESOTH" NA NA NA 7500 NA NA NA NA
"188" 0.25 "HERR2224IIIa" NA NA 110000 525 NA NA NA 0.849
"189" 0.16 "HERR2532" NA NA NA 525 -1.618 NA NA 0.32
"190" 0.19 "HERR30" 0.2 NA 2e+05 525 -1.618 NA NA 0.32
"191" NA "HERR31" 0.15 NA NA 525 -1.618 NA NA 0.32
"192" NA "HERR4RFA" 0.2 NA NA 525 NA NA NA NA
"193" NA "HERR4RSP" 0.2 NA NA 525 NA NA NA NA
"194" NA "HERR4TFA" 0.2 NA NA 525 NA NA NA NA
"195" NA "HERR4TSP" 0.2 NA NA 525 NA NA NA NA
"196" NA "HERR4VWX" 0.2 NA NA 525 NA NA 3 NA
"197" NA "HERRCC" NA NA NA 486.5 NA NA NA NA
"198" 0.22 "HERRIsum" 0.1 NA NA 525 NA NA NA NA
"199" NA "HERRNIRS" NA NA NA 525 NA NA NA NA
"200" 0.15 "HERRNORSS" 0.15 NA NA NA NA NA NA NA
"201" 0.25 "HERRNS" NA NA NA 525 NA NA NA 0.849
"202" 0.31 "HERRNWATLC" 0.2 0.134098293 NA 525 0.64 0.143264899200475 2.95 0.34
"203" NA "HERRPRD" NA NA NA 486.5 NA NA NA NA
"204" NA "HERRPWS" 0.25 NA NA 486.5 NA NA NA NA
"205" NA "HERRQCI" NA NA NA 486.5 NA NA NA NA
"206" 0.35 "HERRRIGA" 0.2 NA NA 525 -1.618 NA NA 0.32
"207" 0.25 "HERRSIRS" NA NA NA NA NA NA 2 NA
"208" NA "HERRSITKA" 0.2 NA NA 486.5 NA NA 3.4 NA
"209" NA "HERRSOG" NA NA NA 486.5 NA NA NA NA
"210" NA "HERRTOG" NA NA NA NA NA NA NA NA
"211" 0.25 "HERRVIa" NA NA NA 525 NA NA NA NA
"212" 0.25 "HERRVIaVIIbc" NA NA NA 525 NA NA NA NA
"213" NA "HERRWCVANI" NA NA NA 486.5 NA NA NA NA
"214" NA "HMACKCH" NA NA NA NA NA NA NA NA
"215" 0.31 "HMACKWA" NA NA NA NA NA NA NA NA
"216" NA "HOKIENZ" 0.29 0.28 307142.8571 5306.83396636379 -1.7 NA NA 0.2
"217" NA "HOKIWNZ" 0.29 0.25 508000 5734.29018238217 -0.6 NA NA 0.24
"218" NA "ILLEXNWATLC" NA NA NA NA NA NA NA NA
"219" NA "JANCHOPJPN" 0.4 NA NA NA NA NA NA NA
"220" NA "JANCHOSETO" NA NA NA NA NA NA NA NA
"221" NA "JANCHOTSST" 1 NA NA NA NA NA NA NA
"222" NA "JMACKPJPN" 0.5 NA NA NA NA NA NA NA
"223" NA "JMACKTSST" 0.5 NA NA NA NA NA NA NA
"224" NA "KELPGREENLINGORECOAST" 0.26 0.125 NA 1908.27247637969 -2.46 NA NA 0.3
"225" NA "KINGKLIPSA" NA NA NA 7500 NA NA NA NA
"226" 0.259347 "KMACKGM" 0.16 NA NA 7685.75296 -0.8 NA NA 0.35
"227" NA "KMACKSATLC" NA 0.157 NA 14767.701110584 -1.8 NA NA 0.25
"228" NA "LDENTWASG3" NA NA NA NA NA NA NA NA
"229" NA "LINGCODNPCOAST" 0.18 0.14 12385.71429 29550 NA NA NA 0.09
"230" NA "LINGCODSPCOAST" 0.18 0.103 18925 29550 NA NA NA 0.11
"231" NA "LISQUIDATLC" NA NA 42405 NA NA NA NA NA
"232" NA "LNOSESKAPCOAST" 0.2 0.027 NA 50136.2311151255 -1.01 9845.06497244654 NA 0.064
"233" NA "LOBSTERGB" 0.15 NA NA NA NA NA NA NA
"234" NA "LOBSTERGOM" 0.15 NA NA NA NA NA NA NA
"235" NA "LOBSTERSNE" 0.15 NA NA NA NA NA NA NA
"236" NA "LSKAT5YCHATT" NA NA NA 787 NA NA NA NA
"237" NA "LSTHORNHPCOAST" 0.11 0.07 NA 296.5 NA 66.7573406715256 NA 0.11
"238" NA "MACKNEICES" 0.15 NA NA 1700 NA NA NA NA
"239" NA "MEG8c9a" 0.2 NA NA 1080 NA NA NA NA
"240" NA "MENATGM" 1.22 NA NA 80 -1.1 NA NA 0.4
"241" NA "MENATLAN" 0.5 NA NA 625 NA NA NA 0.6
"242" NA "MONK2J3KLNOPs" NA NA NA 11300 NA NA NA NA
"243" 0.43 "MONKGOMNGB" 0.3 NA NA 11300 0.09 NA NA 0.1
"244" 0.46 "MONKSGBMATL" 0.3 NA NA 11300 0.09 NA NA 0.1
"245" NA "MORWONGSE" 0.15 NA NA 481.88806119 -0.45 630.8927625 3 0.34
"246" NA "MULLQNSW" 0.33 NA NA NA NA NA NA NA
"247" 0.34 "MUTSNAPSATLCGM" 0.11 0.062006818 NA 7800 -1.32 NA 3.7 0.16
"248" NA "NEPHMEDGSA5" NA NA NA NA NA NA NA 0.17
"249" NA "NPOUTNS" NA NA NA 214 NA NA NA 0.849
"250" 0.071 "NROCKBSAI" 0.0427 NA NA 370.92620375 -0.4879 NA NA 0.19
"251" 0.071 "NROCKGA" 0.06 0.094445267 NA 344.5 NA 0.766318853266141 12.8 NA
"252" 0.26 "NRSOLEEBSAI" 0.18 NA NA 1642.5 NA NA NA NA
"253" NA "NSHRIMPCH" NA NA NA NA NA NA NA NA
"254" NA "NZLINGESE" 0.2 NA NA 21037.1329324319 -1.79 126.926188563109 3 0.166
"255" 0.19 "NZLINGLIN3-4" 0.1 0.073809773 NA 124168.50410831 -0.7 NA NA 0.1
"256" 0.49 "NZLINGLIN5-6" 0.21 0.162260729 NA 35921.8216860759 -1 NA NA 0.15
"257" 0.308 "NZLINGLIN6b" 0.18 0.189186864 NA 152508.968022478 -0.53 NA 9 0.101
"258" 0.246 "NZLINGLIN72" 0.18 0.193587183 NA 285773.630488873 -0.54 NA 8.75 0.097
"259" 0.202 "NZLINGLIN7WC" 0.22 0.137975899 NA 338929.968507739 -0.95 NA 8.25 0.076
"260" NA "NZLINGWSE" 0.2 0.16 NA 21037.1329324319 -1.79 126.926188563109 3 0.166
"261" 0.0923 "NZSNAPNZ8" 0.0507649 0.060157495 NA 10000 NA NA 3 NA
"262" NA "OCTOWA" NA NA NA NA NA NA NA NA
"263" NA "OFLOUNECS" 0.31 NA NA NA NA NA NA NA
"264" NA "OFLOUNNSJ" 0.2 NA NA NA NA NA NA NA
"265" NA "OFLOUNPAC" 0.21 NA NA NA NA NA NA NA
"266" NA "OFLOUNSETO" 0.31 NA NA NA NA NA NA NA
"267" 0.76 "OPOUTNWATLC" 0.2 NA 4.94 2718 NA NA NA NA
"268" NA "OROUGHYCASCADE" NA NA NA 145.369823125433 NA 1274.87894053971 32 NA
"269" NA "OROUGHYCH" NA NA NA NA NA NA NA NA
"270" NA "OROUGHYCR" 0.05 0.09 22666.66667 217.822355209912 -0.5 NA NA 0.06
"271" 0.04 "OROUGHYNZMEC" 0.03 0.029115714 NA 185.677405812001 -0.5 NA NA 0.07
"272" NA "OROUGHYSE" NA NA NA 2186.69496471051 NA 1092.64560894978 32 NA
