"V1" "V2" "V3" "V4" "V5" "V6"
"104" 90541.2761058557 9.73791455420798 17146.1546331151 29193.4076623112 0 0
"105" 74748.613822897 1.07137265846273 17134.0708981458 29173.9834612962 0 0
"106" 0 0 17892.1452865637 29794.9906150809 0 0
"107" 78843.0478477198 210.592571847811 17925.3587713477 29731.7075921244 0 0
"108" 115380.438449869 2411.31161011502 17824.5373523013 29601.8779236569 0 0
"109" 135445.286335388 3757.87422295286 17828.6468144888 29557.3831804228 0 0
"110" 146341.270138427 4126.81068074308 17851.2068067825 29538.9750415896 0 0
"111" 151115.206820537 4062.95155467739 17872.1195537147 29525.2336571901 0 0
"112" 151743.699661049 3667.62365230408 17891.1706201646 29513.8355831933 0 0
"113" 149342.937319474 3013.9412205356 17908.3288082421 29503.6330410716 0 0
"114" 144525.959372653 2199.96776680309 17922.7414483815 29493.5497366378 0 0
"115" 137601.739696023 1365.0156974982 17932.7511597816 29482.4425855956 0 0
"116" 128704.506805114 674.922492014933 17936.4530609485 29469.2031487029 0 0
"117" 117915.934363356 246.423349904608 17933.1191302743 29453.2303567496 0 0
"118" 105351.344366868 62.2495660444892 17924.2409864355 29434.9087556326 0 0
"119" 91135.811164531 10.5038844317531 17912.2681040865 29415.1680678514 0 0
"120" 75347.4698631656 1.17397041715877 17898.7288402612 29394.5931844724 0 0
"121" 0 0 18402.4225957704 29650.0000706884 0 0
"122" 79204.3536907325 232.656316930404 18427.914956633 29574.206598171 0 0
"123" 115816.436958097 2483.31714101418 18316.4049621178 29438.6859212259 0 0
"124" 136025.477745455 3790.68319655418 18320.2431828113 29392.25125979 0 0
"125" 146966.75249586 4159.94166850696 18342.09547714 29370.1225220929 0 0
"126" 151763.328454636 4100.32384613084 18362.4707457299 29353.0878947562 0 0
"127" 152406.799771094 3708.03386702323 18381.1623134284 29338.7832688303 0 0
"128" 150018.479202755 3055.11905108657 18398.0740927791 29325.952733499 0 0
"129" 145214.074222875 2238.66284868632 18412.2719250964 29313.4831995866 0 0
