"V1" "V2" "V3" "V4" "V5" "V6"
"1751" 284441.4308231 477799.364980769 331213.561341233 687812.489773504 152753.728643926 4496490.37495071
"1752" 256325.224610618 439827.507738691 332019.984784517 689144.750505595 152982.031813269 4502736.68288673
"1753" 229176.377093387 400831.373024951 332838.773916351 690474.414897465 153206.971165476 4508614.9055291
"1754" 202569.466636842 360442.478874987 333678.857479019 691817.39143246 153430.743511279 4514223.30375409
"1755" 176153.141622341 318402.442603776 334545.01356084 693183.443633185 153654.782922573 4519631.32065035
"1756" 890481.065492501 1053500.76288291 304301.433720353 632461.659083352 149506.040361356 4383051.69671155
"1757" 758463.200033284 937269.559857429 306430.569125211 636170.314309089 150450.120756625 4414773.05620941
"1758" 657160.642591237 849629.59110476 308599.670008269 640091.468030822 151150.308815057 4442787.25564665
"1759" 578779.002615491 781267.81663552 309813.360112011 642645.551895569 151644.339173862 4463387.9080496
"1760" 515895.280778722 725466.899188589 311008.623112356 644804.924802081 152088.285511582 4478890.67400952
"1761" 463588.676300388 677398.320126588 312104.993768049 646766.340412667 152459.850846283 4491944.6492708
"1762" 419072.168449834 634237.200393198 313031.509936203 648458.519409496 152775.426090266 4502963.87713366
"1763" 380225.115856106 594193.133041637 313884.708278024 649975.938684263 153061.605871655 4512329.64432577
"1764" 345482.17748135 555938.928355364 314712.096924317 651404.371993711 153327.339833714 4520562.98722867
"1765" 313729.600453836 518480.183128098 315515.869859311 652771.165354436 153576.085053556 4527993.06755928
"1766" 284127.445346396 481070.80936335 316303.448680764 654092.297477348 153812.947499358 4534796.33654525
"1767" 256014.663868413 443126.627854144 317090.729482033 655389.979294875 154042.95252646 4541110.69269968
"1768" 228865.581846825 404176.033536689 317890.672189983 656684.993454955 154269.469794589 4547060.47796454
"1769" 202255.896533868 363846.160861016 318710.769594296 657991.668652298 154494.631438603 4552743.43284481
"1770" 175834.645378323 321872.857253388 319555.717936707 659319.150941908 154719.996877865 4558227.29005549
"1771" 890399.462103625 1058450.0656935 291261.688824846 602807.05707261 150408.699340821 4415289.26417395
"1772" 758387.385730834 941721.366470043 293484.507154377 606470.486438739 151380.446985149 4447299.44471199
"1773" 656977.008181954 853592.882060751 295541.540998464 610291.704154076 152077.471708173 4475746.5252189
"1774" 578641.832225695 784965.70638762 296714.4601241 612746.344876381 152580.31122756 4496405.79039358
"1775" 515733.902548818 728962.395186975 297899.490300484 614869.443332919 153029.711217537 4512095.54582828
"1776" 463427.908015857 680728.484733923 298960.218610157 616781.986048386 153402.910222255 4525300.51349907
"1777" 418923.130127527 637459.031008098 299859.141969455 618425.732455391 153721.506766644 4536401.85546298
"1778" 380078.811553344 597343.909151639 300694.846782449 619906.366824564 154010.788956415 4545851.46035277
"1779" 345337.563312364 559042.415685386 301503.309510851 621300.257720352 154278.61121257 4554173.8888417
"1780" 313588.120997589 521559.3676944 302286.123593696 622630.249528781 154529.082418911 4561681.43544308
"1781" 283987.728264307 484147.530697824 303053.751543074 623914.015728613 154767.77930751 4568552.77500305
"1782" 255874.601408715 446219.034253716 303822.112632188 625174.468783417 154999.617230981 4574934.38211177
"1783" 228723.835683593 407298.645176293 304602.72730766 626431.17442249 155227.824074873 4580953.38193678
